Fabric Name,Fabric #,Style #'s
Turquoise green Burfii,6002,"24045, 24023, 24022, 24016"
Royal blue barfi,6017,"24044, 24033, 24021, 24020, 24000, 16072, 14027, 14018, 14016, 24016, 24011"
Black barfi,6020,"24043, 24041, 24036, 24019, 24006, 16098"
Navy french crepe,3044,"24042, 24004, 16041, 19034, 19205, 19545, 19687"
Red Vamika crepe ,3068,"24040, 24035, 24008, 24007, 24012"
Purple harnaz,6071,"24039, 19207"
Burgundy harnaz,6072,"24038, 24037, 19023"
Red burfi ,6035,"24034, 19713"
Wine shimmery cosmic,6055,"24032, 16077"
Orange burfi,6006,"24031, 24018, 15008, 24028"
Peach orange burfii,6008,"24030, 14037, 14036, 14035, 14024"
Magenta Burfi,6009,"24029, 24028, 15003, 14034, 14028, 13070, 13069, 19204"
Yellow Vamika crepe ,3059,"24027, 24025, 24013, 24012, 17013, 19695"
Hot Pink Satin ,3074,"24026, 17054"
Pista green roman silk,6039,"24024, 17005"
Navy ggt,2040,"24017, 24014, 12006, 10866, 18091"
Burgundy vichitra,6011,"24015, 13071, 19099"
Sea Green Vamika crepe ,3061,"24011, 24010, 24009"
Red french crepe ,3060,"24005, 24002"
Maroon Vamika crepe ,3062,"24003, 24001, 17026"
Rust floral ggt,2095,"18069, 18004"
Beige floral tiger print satin,1070,"18068, 17073"
Green & black floral ggt,2097,18067
Blue- white tie & dye print,9007,"18065, 18064"
Black & nion tropical print ggt,2089,"18063, 16025"
Multi print ggt,7012,"18062, 16021"
Navy tie & dye crepe,9010,"18061, 19315, 19396"
Navy-white small big polka georgette,9005,18059
Pista Green - yellow floral crepe,9006,18058
Green plaid rayon,1067,"18057, 17050"
Purple & Navy purple plaid  rayon,1068,"16084, 18056"
Wine vichitra,6073,18055
Green-white zebra print crepe,9012,"18052, 19332, 19301"
Wine Zebra print crepe ,9021,"18051, 19085"
Orange-white zebra print crepe,9024,"18050, 19070"
Lime Green Tropical print Crepe,9013,"18049, 18021, 18087, 18088"
 Black Multi Tropical print Crepe,9004,18048
Sky blue telsa,6076,18047
Magenta telsa,6075,18045
Teal telsa,6074,"18044, 19209"
Red telsa,6077,"18043, 19216, 19217, 19236, 19374"
Bottle green telsa,6079,18042
Lavender Lycra scrabble Fabric,8009,"18041, 18014, 18013, 16062, 16061, 19215, 19356, 19376"
Sea green Lycra scrabble fabric,8010,"18040, 16051, 16050, 19212, 19250, 19375"
Black  Lycra scrabble fabric,8008,"18039, 16064, 16063, 19210, 19213, 19219, 19221, 19222, 19223, 19225, 19226, 19243, 19244, 19245, 19247"
Green Tropical print Rayon,9019,"18038, 18037"
Pink & navy polka ggt,2064,"18036, 15055"
Magenta jersey,5050,"18035, 19725"
 Dark Orange Slub,9018,"18034, 18033, 19265, 19280, 19286, 19287"
Fusia Pink slub,9014,"18032, 18031, 18016, 19270, 19282, 19287, 19286"
Magenta slub,9015,"18030, 18029, 18018, 18017, 19264, 19272, 19279"
Black satin,3022,"18028, 17029, 14021, 13001, 12024, 12021, 12008, 12007, 11193, 11191, 10862, 19753"
Rust marbel print ggt,7003,"18027, 16034"
 Off White & black houndstooth,6078,"18026, 19248, 19238"
Multi Printed Chiffon,9001,"18025, 19312"
Rust  black Floral chiffon,9002,18024
Grey polka ggt,9025,18023
Candy print ggt,2090,"18022, 18006"
Olive floral satin,1072,18020
Ombre Georgette ,7010,"18019, 16036"
Green Cotton slub ,3065,"18015, 16070, 19271, 19281, 19510, 19511, 19550"
Peach black floral crepe,1022,"18012, 18011, 14030, 14022, 14020, 14019"
Red rib,6044,"18010, 18009, 16045, 15082, 19024, 19354"
Beige Rib ,6056,"18008, 18007, 16044"
Solid neon crepe ,3012,"18005, 11116, 19389"
Black stripe crepe,1015,"18003, 18002, 15015, 15014, 14054, 13019, 12054, 11184, 11179, 11171, 19160, 19696, 19761, 19261, 19418"
Magenta stripe crepe,1016,"18001, 18000, 13056, 19321"
Wine stripe crepe,1032,"17099, 17098, 16035, 12049, 19297, 19760"
Maroon stripe crepe,1014,"17097, 17096, 14057, 12077, 11157, 19292"
Bottle green velvet (Super soft),8015,"17095, 17094"
Navy Velvet (super soft),8014,"17093, 17092, 19214, 19218, 19235, 19237, 19240"
navy stripe crepe,1010,"17091, 17090, 15013, 14053, 13007, 12053, 11109, 11086, 19295, 19296"
Maroon Velvet (Super Soft),8016,"17089, 17088, 19231, 19234, 19241, 19242"
Bottle Green Fleece ,8012,"17087, 17086, 19141"
Black Cotton slub ,3066,"17085, 19011, 19012, 19267, 19275"
Off-white Cotton slub ,3067,"17084, 19009, 19010, 19756, 19324, 19425"
Pink plaid crepe,1048,"17083, 16081, 15067"
Green plaid crepe,1049,"17082, 16074, 15066"
Green white strip crepe,1051,"17081, 17008, 15056, 19381"
Solid magenta Crepe,3041,"17080, 13026, 19515"
White-black geometric box print crepe,1017,"17079, 12071"
White-navy stripe and floral crepe,1024,"17078, 13080, 13078"
 Navy floral Cotton ,1044,"17077, 15024"
Magenta polka crepe,1021,"17076, 17058, 17057, 16055, 13054, 19327, 19341"
Red Harnaz,6049,17075
Maroon fleece,6061,"17074, 17044"
Magenta fleece ,8011,"17071, 19254"
Teal shimmery cosmic,6054,"17070, 16079"
Mustard polka crepe,1019,"17068, 17067, 12091"
Camouflage print crepe,1005,"17066, 17065, 14015"
Blue floral crepe,1023,"17064, 17063, 14051, 14049, 14047, 13083"
Burgundy leopard print crepe,1006,"17062, 17061, 13021, 13012, 13005, 13004, 19088, 19146, 19225"
Navy pink polka crepe,1020,"17056, 17055, 17023, 13049, 13048, 13018, 12092, 19515"
Olive gold shimmer vichira,6057,"17053, 19208"
Fusia pink chiffon,6070,17051
Charcoal grey fleece,6031,"17047, 13034, 13030, 12015, 19145, 19152, 19755"
Coffee brown Fleece ,8006,"17046, 19239"
Red Fleece,8007,"17045, 17042, 19142, 19754"
Off-white fleece,6036,"17043, 17040, 16027"
Black herringbone wool,6029,17039
Beige suede,8000,17038
Brown suede,8001,17037
Black fleece,6027,"17036, 17033, 14095, 14094, 13031, 12005, 19138, 19143, 19146, 19147, 19155, 19238, 19251, 19709, 17074, 19136, 19137, 19154, 19229"
Black Rabbit fur,6062,"17035, 17040"
Gray fleece,6028,"17034, 14085, 13029, 11106, 19164, 19229, 19717"
Mustard fleece,6030,"17032, 17031, 12014, 19139"
Wine Velvet(super soft),8005,"17030, 19211"
 Turquoise green Harnaz ombre ,6052,17028
Multi print crepe,1034,"17027, 12069, 19302"
Solid Olive crepe ,3011,"17025, 17024, 11170"
Burgundy polka crepe,1038,"17022, 13045, 13044, 13013, 12076, 12075, 12070, 19733, 19735"
Peach polka crepe,1039,"17021, 13058, 19316"
White small polka crepe,1028,"17020, 12055"
Burgundy popcorn butta ggt,7013,17019
Brown animal print crepe,1001,"17018, 16060, 14032, 12094"
Black plaid print crepe,1013,"17017, 12046"
Beige strip ggt,2079,"17016, 15068"
,7017,17015
White popcorn butta ggt,7014,"17014, 17003, 19762"
Black crincle rayon,3025,17012
Burgundy ombre harnaz,7015,17011
Olive-yellow floral print rayon,1041,"17010, 12086"
Solid Pista Green Crepe,3047,"17009, 19740"
Blue and white stripe georgette,2005,"17007, 13009"
Baby Pink Plain Georgette ,2037,"17006, 10025"
Green tropical  crepe,1063,"17004, 16099, 16037, 15085, 19516"
Turquoise moss crepe,4029,17002
Gray and peach floral crepe,1029,17001
Pink floral crepe,1025,"17000, 13011, 12045, 19342"
Yellow- white floral georgette,2011,"16097, 13064, 12082"
Solid navy blue crepe ,3014,"16096, 12013, 11196, 11177, 11028, 10804, 19059, 19414, 19703, 19723, 19737, 12056, 19052, 19054, 19149"
Solid bottle green crepe ,3001,"16095, 16031, 12020, 11019, 19128, 19705"
Solid turquoise blue crepe,3020,"16094, 19516, 19345, 19410"
Orange swiss dot ggt,2048,"16093, 13047, 12030"
 Olive Amalfi,6067,16092
Gray barfi,6019,"16091, 14097"
Navy Cotton slub ,3064,"16090, 19269, 19283"
Black telsa,6043,"16089, 16088, 16087, 16008, 15086, 19220, 19230, 19232, 19233, 19260"
Orange floral satin,1069,16085
Turquoise Green dobby Rayon ,3052,16083
Magenta leapard print rayon,1071,16082
Red cosmic ,6051,"16078, 16043"
Magenta harnaz,6047,"16076, 19051"
Maroon heather  Moss crepe ,4014,"16075, 15043"
Red Pleated Crepe ,3073,16073
White polka ggt,2091,"16071, 19718"
Black pleated crepe,3031,"16069, 13024"
Red Plain Georgette ,2035,"16068, 12067, 12001, 11199, 11126, 19724, 11142, 19217"
Black Georgette,2036,"16067, 16017, 15018, 12085, 12043, 12036, 12003, 11189, 11188, 10742, 10600, 19167, 19710, 11090, 19210, 19739, 19230"
